,ID,Region,date,num,num_men,num_women,num_children,cause,location,Information Source,lat,lon,num_boys,num_girls,name,gender,age,origin,description,source,country,bord,ppl,date.1
0,54587,US-Mexico Border,2020-12-30 00:00:00,1,,,,Unknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,31.364310000000,-109.484161800000,,,,,,,,,,,,
1,54586,US-Mexico Border,2020-12-29 00:00:00,1,,,,Unknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,32.057701900000,-112.143021500000,,,,,,,,,,,,
2,54585,US-Mexico Border,2020-12-28 00:00:00,1,,,,Unknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,31.586669000000,-111.753637200000,,,,,,,,,,,,
3,54610,Sub-Saharan Africa,2020-12-28 00:00:00,1,,1.0,1.0,Vehicle  accident,"Abeche road, close to Faya Largeau, Chad",IOM Chad,17.923662300000,19.110711400000,,,,,,,,,,,,
4,54532,US-Mexico Border,2020-12-27 00:00:00,1,,1.0,,Vehicle Accident,"At Laredo local hospital, she was hit by a vehicle on hihgway 83 south, Laredo, Texas, USA on 17.12.2020",US Border Patrol,27.506346800000,-99.503519800000,,,,,,,,,,,,
5,54523,Middle East,2020-12-26 00:00:00,1,,1.0,,Drowned,"Evros/Meriç River near Sarıcaali Village, Ipsala District, Turkey - She fell into the river during rescue operation.",IOM Turkey,40.993226961755,26.349816798706,,,,,,,,,,,,
6,54557,Mediterranean,2020-12-25 00:00:00,13,5.0,,1.0,Drowned,"Unspecified location, last spotted 50Nm north of Tripoli, Libya on 25.12 at 12:45 - Departed from Sabratha, Libya on 24.12","Alarm Phone, Pilotes Volontaires",33.331299067715,13.188591717969,,,,,,,,,,,,
7,54521,Mediterranean,2020-12-25 00:00:00,1,,,,Hypothermia,"In a hospital in Motril, Granada, Spain - Rescued one day before 30 nautical miles off of Motril",Público,36.748974700000,-3.518036300000,,,,,,,,,,,,
8,54520,Mediterranean,2020-12-24 00:00:00,4,,,,"dehydration, hypothermia","Unspecified location in the Alboran Sea, rescued 30 nautical miles off of Motril, Granada, Spain","El País, Público",36.214401400000,-3.419552700000,,,,,,,,,,,,
9,54519,Mediterranean,2020-12-24 00:00:00,40,1.0,19.0,,drowned,"6 miles off the coast of Sidi Mansour, Sfax, Tunisia",IOM Tunisia,34.904147662369,11.212363994531,,,,,,,,,,,,
10,54535,Mediterranean,2020-12-24 00:00:00,1,,,,Drowned,"Remains washed ashore at Al harsha, Azzawaya, Libya",IOM Libya,32.791531634988,12.680682339209,,,,,,,,,,,,
11,54522,North Africa,2020-12-24 00:00:00,2,,,,"dehydration, hypothermia","Off the coast of Laâyoune/El Aaiún, Morocco","El País, Público",27.183682191761,-13.596643549023,,,,,,,,,,,,
12,54863,Mediterranean,2020-12-23 00:00:00,5,5.0,,,Drowned,"Unspecified location in the Alboran Sea. Departed from Alhoceima, Morocco on 23.12.2020 at 3:00 GMT. Disappeared without a trace","UNHCR, Watch the Med",35.304207530822,-3.920073826367,,,,,,,,,,,,
13,54525,Central America,2020-12-22 00:00:00,2,,1.0,1.0,Drowned,"Puerto Obaldía, Guna Yala District, Panama","La Estrella de Panamá,Crítica,El Siglo",8.666747300000,-77.419983700000,,,,,,,,,,,,
14,54531,US-Mexico Border,2020-12-22 00:00:00,1,1.0,,,Vehicle Accident,"At San Ysidro Port of Entry, San Diego, California, USA",US Border Patrol,32.543483800000,-117.030279500000,,,,,,,,,,,,
15,54711,US-Mexico Border,2020-12-20 00:00:00,2,2.0,,,Drowned,"2800 Bentsen Palm, Mission, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,26.185486300000,-98.380299100000,,,,,,,,,,,,
16,54609,East Asia,2020-12-20 00:00:00,1,1.0,,,Drowned,"Musan County, North Hamgyong Province, the Democratic People's Republic of Korea (North Korea)",Daily NK,42.228191600000,129.214835000000,,,,,,,,,,,,
17,54574,Mediterranean,2020-12-20 00:00:00,1,1.0,,,Drowned,"Body found by the Marine Guard on the beach of Cap Zebib (Ras Jebel),  Bizerte, Tunisia","Tunisie Numerique, Banzart FM",37.248914400000,10.072334900000,,,,,,,,,,,,
18,54536,Mediterranean,2020-12-19 00:00:00,3,,3.0,,Drowned,"Unspecified location in the Aegean sea. Survivors rescued off the coast of İzmir’s Foça district/Aslan Burnu, Turkey","Turkish Coast Guard Command, Aegean Boat Report",38.771160929576,26.513472199219,,,,,,,,,,,,
19,54710,US-Mexico Border,2020-12-19 00:00:00,1,1.0,,,Drowned,"1612 Military, Mission, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,26.215906600000,-98.325293200000,,,,,,,,,,,,
20,54537,Mediterranean,2020-12-18 00:00:00,18,14.0,,3.0,Drowned,"Remains washed ashore and retreived by Egyptian Coast Guard off the coast of Salloum, Marsa Matrouh, Egypt. Assumed that fishing boat departed from Salloum to Libya (transiting to Italy) before capsizing","El Wafd, el Watan, Annahar, Al Bawabh News, Youm 7, Shorouk news",31.570784487475,26.162401043408,,,,,,,,,,,,
